month,year_month,year,month_num,nexis_total_results,media_salience_volume_raw,media_salience_volume_log1p,media_salience_volume_z,raw_article_count,download_fraction,retrieval_mismatch_flag,high_download_sample_flag,kept_article_count,cleaned_sample_size,cleaned_sample_fraction,cleaned_sample_log1p,cleaned_sample_z
2021-10,2021-10,2021,10,80,80,4.394449154672439,-0.6594590754580064,50,0.625,False,False,45,45,0.5625,3.828641396489095,-0.5996091268914975
2021-11,2021-11,2021,11,97,97,4.584967478670572,-0.5474013149585745,50,0.5154639175257731,False,False,48,48,0.4948453608247423,3.8918202981106265,-0.4394395655985633
2021-12,2021-12,2021,12,58,58,4.07753744390572,-0.8044750008102123,50,0.8620689655172413,False,False,44,44,0.7586206896551724,3.8066624897703196,-0.652998980655809
2022-01,2022-01,2022,1,63,63,4.1588830833596715,-0.7715168359574383,58,0.9206349206349206,False,True,44,44,0.6984126984126984,3.8066624897703196,-0.652998980655809
2022-02,2022-02,2022,2,71,71,4.276666119016055,-0.7187837721929997,50,0.704225352112676,False,False,42,42,0.5915492957746479,3.7612001156935624,-0.7597786881844317
2022-03,2022-03,2022,3,353,353,5.869296913133774,1.140056725503458,50,0.141643059490085,False,False,43,43,0.12181303116147309,3.784189633918261,-0.7063888344201203
2022-04,2022-04,2022,4,154,154,5.043425116919247,-0.1716782356369501,50,0.3246753246753247,False,False,48,48,0.3116883116883117,3.8918202981106265,-0.4394395655985633
2022-05,2022-05,2022,5,79,79,4.382026634673881,-0.6660507084285612,50,0.6329113924050633,False,False,43,43,0.5443037974683544,3.784189633918261,-0.7063888344201203
2022-06,2022-06,2022,6,81,81,4.406719247264253,-0.6528674424874515,50,0.6172839506172839,False,False,43,43,0.5308641975308642,3.784189633918261,-0.7063888344201203
2022-07,2022-07,2022,7,80,80,4.394449154672439,-0.6594590754580064,78,0.975,False,True,57,57,0.7125,4.060443010546419,0.0410691182802394
2022-08,2022-08,2022,8,130,130,4.875197323201151,-0.3298774269302656,94,0.7230769230769231,False,True,72,72,0.5538461538461539,4.290459441148391,0.8419169247449105
2022-09,2022-09,2022,9,110,110,4.709530201312334,-0.4617100863413619,50,0.45454545454545453,False,False,42,42,0.38181818181818183,3.7612001156935624,-0.7597786881844317
2022-10,2022-10,2022,10,181,181,5.204006687076795,0.006295854568029914,99,0.5469613259668509,False,True,78,78,0.430939226519337,4.3694478524670215,1.162256047330779
2022-11,2022-11,2022,11,151,151,5.0238805208462765,-0.19145313454861454,50,0.33112582781456956,False,False,43,43,0.2847682119205298,3.784189633918261,-0.7063888344201203
2022-12,2022-12,2022,12,150,150,5.017279836814924,-0.19804476751916933,50,0.3333333333333333,False,False,45,45,0.3,3.828641396489095,-0.5996091268914975
2023-01,2023-01,2023,1,134,134,4.90527477843843,-0.3035108950480464,100,0.746268656716418,False,True,84,84,0.6268656716417911,4.442651256490317,1.4825951699166475
2023-02,2023-02,2023,2,205,205,5.327876168789581,0.16449504586134547,50,0.24390243902439024,False,False,41,41,0.2,3.7376696182833684,-0.8131685419487432
2023-03,2023-03,2023,3,121,121,4.804021044733257,-0.38920212366525897,50,0.4132231404958678,False,False,43,43,0.35537190082644626,3.784189633918261,-0.7063888344201203
2023-04,2023-04,2023,4,98,98,4.59511985013459,-0.5408096819880197,50,0.5102040816326531,False,False,46,46,0.46938775510204084,3.8501476017100584,-0.5462192731271861
2023-05,2023-05,2023,5,187,187,5.236441962829949,0.0458456523913588,50,0.26737967914438504,False,False,42,42,0.22459893048128343,3.7612001156935624,-0.7597786881844317
2023-06,2023-06,2023,6,130,130,4.875197323201151,-0.3298774269302656,50,0.38461538461538464,False,False,46,46,0.35384615384615387,3.8501476017100584,-0.5462192731271861
2023-07,2023-07,2023,7,99,99,4.605170185988092,-0.534218049017465,50,0.5050505050505051,False,False,41,41,0.41414141414141414,3.7376696182833684,-0.8131685419487432
2023-08,2023-08,2023,8,128,128,4.859812404361672,-0.34306069287137525,100,0.78125,False,True,79,79,0.6171875,4.382026634673881,1.2156459010950904
2023-09,2023-09,2023,9,202,202,5.313205979041787,0.14472014694968102,100,0.49504950495049505,False,True,81,81,0.400990099009901,4.406719247264253,1.3224256086237132
2023-10,2023-10,2023,10,284,284,5.652489180268651,0.6852340505351758,99,0.3485915492957746,False,True,76,76,0.2676056338028169,4.343805421853684,1.0554763398021563
2023-11,2023-11,2023,11,231,231,5.44673737166631,0.33587750309577064,50,0.21645021645021645,False,False,44,44,0.19047619047619047,3.8066624897703196,-0.652998980655809
2023-12,2023-12,2023,12,172,172,5.153291594497779,-0.053028842166963415,50,0.29069767441860467,False,False,46,46,0.26744186046511625,3.8501476017100584,-0.5462192731271861
2024-01,2024-01,2024,1,114,114,4.74493212836325,-0.4353435544591427,50,0.43859649122807015,False,False,42,42,0.3684210526315789,3.7612001156935624,-0.7597786881844317
2024-02,2024-02,2024,2,124,124,4.8283137373023015,-0.3694272247535945,50,0.4032258064516129,False,False,41,41,0.33064516129032256,3.7376696182833684,-0.8131685419487432
2024-03,2024-03,2024,3,104,104,4.653960350157523,-0.5012598841646908,50,0.4807692307692308,False,False,41,41,0.3942307692307692,3.7376696182833684,-0.8131685419487432
2024-04,2024-04,2024,4,90,90,4.51085950651685,-0.5935427457524582,50,0.5555555555555556,False,False,43,43,0.4777777777777778,3.784189633918261,-0.7063888344201203
2024-05,2024-05,2024,5,82,82,4.418840607796598,-0.6462758095168968,82,1.0,False,True,66,66,0.8048780487804879,4.204692619390966,0.5215778021590421
2024-06,2024-06,2024,6,149,149,5.0106352940962555,-0.20463640048972415,99,0.6644295302013423,False,True,81,81,0.5436241610738255,4.406719247264253,1.3224256086237132
2024-07,2024-07,2024,7,91,91,4.5217885770490405,-0.5869511127819034,50,0.5494505494505495,False,False,45,45,0.4945054945054945,3.828641396489095,-0.5996091268914975
2024-08,2024-08,2024,8,151,151,5.0238805208462765,-0.19145313454861454,100,0.6622516556291391,False,True,75,75,0.4966887417218543,4.330733340286331,1.002086486037845
2024-09,2024-09,2024,9,168,168,5.1298987149230735,-0.07939537404918268,50,0.2976190476190476,False,False,42,42,0.25,3.7612001156935624,-0.7597786881844317
2024-10,2024-10,2024,10,136,136,4.919980925828125,-0.29032762910693677,50,0.36764705882352944,False,False,48,48,0.35294117647058826,3.8918202981106265,-0.4394395655985633
2024-11,2024-11,2024,11,109,109,4.700480365792417,-0.4683017193119167,50,0.45871559633027525,False,False,43,43,0.3944954128440367,3.784189633918261,-0.7063888344201203
2024-12,2024-12,2024,12,140,140,4.948759890378168,-0.2639610972247175,50,0.35714285714285715,False,False,44,44,0.3142857142857143,3.8066624897703196,-0.652998980655809
2025-01,2025-01,2025,1,186,186,5.231108616854587,0.03925401942080399,98,0.5268817204301075,False,True,78,78,0.41935483870967744,4.3694478524670215,1.162256047330779
2025-02,2025-02,2025,2,154,154,5.043425116919247,-0.1716782356369501,97,0.6298701298701299,False,True,75,75,0.487012987012987,4.330733340286331,1.002086486037845
2025-03,2025-03,2025,3,100,100,4.61512051684126,-0.5276264160469101,99,0.99,False,True,81,81,0.81,4.406719247264253,1.3224256086237132
2025-04,2025-04,2025,4,78,78,4.3694478524670215,-0.672642341399116,78,1.0,False,True,66,66,0.8461538461538461,4.204692619390966,0.5215778021590421
2025-05,2025-05,2025,5,100,100,4.61512051684126,-0.5276264160469101,50,0.5,False,False,45,45,0.45,3.828641396489095,-0.5996091268914975
2025-06,2025-06,2025,6,118,118,4.77912349311153,-0.4089770225769234,50,0.423728813559322,False,False,44,44,0.3728813559322034,3.8066624897703196,-0.652998980655809
2025-07,2025-07,2025,7,138,138,4.9344739331306915,-0.27714436316582713,100,0.7246376811594203,False,True,73,73,0.5289855072463768,4.30406509320417,0.895306778509222
2025-08,2025-08,2025,8,136,136,4.919980925828125,-0.29032762910693677,94,0.6911764705882353,False,True,72,72,0.5294117647058824,4.290459441148391,0.8419169247449105
2025-09,2025-09,2025,9,105,105,4.663439094112067,-0.494668251194136,99,0.9428571428571428,False,True,76,76,0.7238095238095238,4.343805421853684,1.0554763398021563
2025-10,2025-10,2025,10,105,105,4.663439094112067,-0.494668251194136,86,0.819047619047619,False,True,72,72,0.6857142857142857,4.290459441148391,0.8419169247449105
2025-11,2025-11,2025,11,113,113,4.736198448394496,-0.4419351874296975,83,0.7345132743362832,False,True,73,73,0.6460176991150443,4.30406509320417,0.895306778509222
2025-12,2025-12,2025,12,115,115,4.7535901911063645,-0.4287519214885879,113,0.9826086956521739,False,True,88,88,0.7652173913043478,4.48863636973214,1.696154584973893
